rank_worst_to_best,drug_group,n_formulations,n_studies,EE_mean,EE_min,EE_max,EE_SD,pred_rep_mean,MAE_repeated,MAE_single_partition,mean_signed_error,MAE_mean_predictor,delta_vs_mean_predictor,model_worse_than_mean_predictor,is_singleton_drug,bias_direction,EE_quartile,is_top5_worst,is_top5_best,cv_strategy,model,target
41,ethyl-4-hydroxybenzoate,1,1,1.3,1.3,1.3,,16.415400000000005,15.115400000000003,8.324114285714282,15.115400000000005,63.706653934279835,-48.591253934279834,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
42,anastrozole,27,1,49.25518518518519,36.66,61.65,7.287564418699513,64.11492377248678,15.02259747619048,15.935155555555575,14.859738587301592,16.09634215129269,-1.0737446751022084,False,False,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
43,zinc-protoporphyrin,17,1,52.370588235294115,30.6,79.0,13.05879802594224,47.065243509803906,14.096226254901964,11.348433333333336,-5.305344725490207,14.562657812631633,-0.4664315577296687,False,False,under-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
44,combretastatin-a4,2,1,31.5,31.0,32.0,0.7071067811865476,40.331779999999995,13.258856666666656,3.086807142857136,8.831779999999995,33.61163149723387,-20.352774830567217,False,False,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
45,butyl-4-hydroxybenzoate,1,1,4.9,4.9,4.9,,17.24383333333334,12.34383333333334,4.741999999999978,12.343833333333338,59.40358476923914,-47.059751435905795,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
46,diosgenin,3,1,69.98666666666666,58.48,78.68,10.389712860966535,69.27225172222224,11.2281785,8.250591666666658,-0.7144149444444304,9.724633122492753,1.5035453775072476,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
47,etoposide,3,1,67.58,57.64,78.99,10.750641841304171,61.36303526190477,11.019252960317461,7.5265722222222236,-6.216964738095228,7.42319447413229,3.5960584861851705,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
48,dexamethasone,1,1,34.57,34.57,34.57,,45.00196000000002,10.431960000000016,5.762357142857169,10.431960000000018,29.46855024941699,-19.036590249416975,False,True,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
49,diazepam,25,1,84.32,69.0,92.0,5.963220606350229,75.35010087047621,9.739514070476178,6.030594991919172,-8.969899129523792,20.03679970407221,-10.297285633596031,False,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
50,octyl-4-hydroxybenzoate,1,1,12.3,12.3,12.3,,19.82520666666668,9.473926666666678,19.35172000000004,7.52520666666668,51.388186433330944,-41.914259766664266,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
51,lorazepam,26,1,81.55115384615384,65.5,90.1,7.5885325732571385,74.45886589468866,9.422919993589733,4.967267051282046,-7.092287951465194,17.06132988581991,-7.638409892230175,False,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
52,itraconazole,3,1,68.66666666666667,61.0,73.0,6.6583281184793925,75.06713666666666,9.41792301587301,9.512573174603157,6.400469999999989,6.201863021645938,3.216059994227072,True,False,over-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
53,methyl-4-hydroxybenzoate,1,1,0.3,0.3,0.3,,8.76396,8.46396,2.392300000000003,8.46396,65.49207166157166,-57.02811166157166,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
54,azithromycin,3,1,65.26666666666667,50.5,78.5,14.062835181190644,65.81497999999999,8.369186666666677,6.798875000000021,0.5483133333333257,10.301868549863784,-1.932681883197107,False,False,over-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
55,tetrandrine,1,1,63.72,63.72,63.72,,55.648863809523775,8.071136190476222,9.973100000000024,-8.071136190476224,1.9657578183044635,6.105378372171759,True,True,under-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
56,tramadol,27,1,65.0537037037037,49.23,78.35,8.820346734920149,60.97288334038803,7.708856772486772,5.546295414462095,-4.080820363315676,7.5234087446317295,0.18544802785504277,True,False,under-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
57,niclosamide,1,1,70.23,70.23,70.23,,68.35387583333329,7.424230833333363,20.102420000000016,-1.8761241666667132,5.865865960346516,1.5583648729868464,True,True,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
58,salbutamol,1,1,25.2,25.2,25.2,,25.830146666666657,6.7691866666666725,3.2539999999999942,0.6301466666666578,40.01475776138379,-33.24557109471712,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
59,propyl-4-hydroxybenzoate,1,1,2.2,2.2,2.2,,8.65637999999999,6.4563799999999905,5.866449999999989,6.45637999999999,61.88823279362829,-55.4318527936283,False,True,over-predicts,Q1_lowest_EE,False,True,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
60,kartogenin,1,1,62.0,62.0,62.0,,62.5874863809524,6.4355397142856985,1.4907500000000198,0.5874863809523987,3.7814634566532788,2.6540762576324197,True,True,over-predicts,Q2,False,True,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
61,rhodamine-123,1,1,55.3,55.3,55.3,,59.624530500000034,5.9210305000000165,10.14473833333335,4.324530500000037,10.945480212960854,-5.024449712960838,False,True,over-predicts,Q2,False,True,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
62,isoniazid,1,1,10.0,10.0,10.0,,15.281839999999994,5.281839999999994,17.99474,5.281839999999994,53.942222087929146,-48.66038208792915,False,True,over-predicts,Q1_lowest_EE,False,True,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
63,rapamycin,1,1,74.25,74.25,74.25,,70.73803352380953,3.7667368571428597,3.1607033333333447,-3.511966476190466,9.11366896444456,-5.346932107301701,False,True,under-predicts,Q3,False,True,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
